s,prefL,alts,group
http://ec.europa.eu/esco/occupation/17389,Hotel cleaner,,http://ec.europa.eu/esco/isco2008/Concept/C9112
http://ec.europa.eu/esco/occupation/20888,Hotel concierge,Porter,http://ec.europa.eu/esco/isco2008/Concept/C4224
http://ec.europa.eu/esco/occupation/21088,Hotel host,,http://ec.europa.eu/esco/isco2008/Concept/C4224
http://ec.europa.eu/esco/occupation/23700,Hotel manager,,http://ec.europa.eu/esco/isco2008/Concept/C1411
http://ec.europa.eu/esco/occupation/22500,Hotel matron,,http://ec.europa.eu/esco/isco2008/Concept/C5151
http://ec.europa.eu/esco/occupation/14286,Hotel receptionist,,http://ec.europa.eu/esco/isco2008/Concept/C4224
http://ec.europa.eu/esco/occupation/17439,House cleaner,,http://ec.europa.eu/esco/isco2008/Concept/C9112
http://ec.europa.eu/esco/occupation/22273,Household adviser,,http://ec.europa.eu/esco/isco2008/Concept/C5152
http://ec.europa.eu/esco/occupation/17297,Housekeeper,,http://ec.europa.eu/esco/isco2008/Concept/C9111
http://ec.europa.eu/esco/occupation/22825,Housekeeper (hotel/restaurant),"Matron, hotel/restaurant",http://ec.europa.eu/esco/isco2008/Concept/C5151
http://ec.europa.eu/esco/occupation/20103,Housing administrator,,http://ec.europa.eu/esco/isco2008/Concept/C3334
http://ec.europa.eu/esco/occupation/19798,Housing agent,,http://ec.europa.eu/esco/isco2008/Concept/C3334
http://ec.europa.eu/esco/occupation/20078,Housing inspector,,http://ec.europa.eu/esco/isco2008/Concept/C3334
http://ec.europa.eu/esco/occupation/20094,Housing manager,,http://ec.europa.eu/esco/isco2008/Concept/C3334
http://ec.europa.eu/esco/occupation/20677,Humanist (researcher),"Humanist, researcher",http://ec.europa.eu/esco/isco2008/Concept/C2633
http://ec.europa.eu/esco/occupation/17179,Ideas historian,Idea historian,http://ec.europa.eu/esco/isco2008/Concept/C2633
http://ec.europa.eu/esco/occupation/22955,Imam,,http://ec.europa.eu/esco/isco2008/Concept/C2636
http://ec.europa.eu/esco/occupation/19517,Individual therapist,,http://ec.europa.eu/esco/isco2008/Concept/C2634
http://ec.europa.eu/esco/occupation/16253,Industrial cook,,http://ec.europa.eu/esco/isco2008/Concept/C5120
http://ec.europa.eu/esco/occupation/18629,Industrial hygienist,,http://ec.europa.eu/esco/isco2008/Concept/C5153
http://ec.europa.eu/esco/occupation/19285,Industrial psychologist,,http://ec.europa.eu/esco/isco2008/Concept/C2634
http://ec.europa.eu/esco/occupation/17400,Industry cleaner,,http://ec.europa.eu/esco/isco2008/Concept/C9112
http://ec.europa.eu/esco/occupation/15730,Industry guide,,http://ec.europa.eu/esco/isco2008/Concept/C5113
http://ec.europa.eu/esco/occupation/23643,Information cashier (shop),"Information cashier, shop",http://ec.europa.eu/esco/isco2008/Concept/C5230
http://ec.europa.eu/esco/occupation/23830,Inspection diver,,http://ec.europa.eu/esco/isco2008/Concept/C7541
http://ec.europa.eu/esco/occupation/22586,Interpreter,,http://ec.europa.eu/esco/isco2008/Concept/C2643
http://ec.europa.eu/esco/occupation/14849,Interpreter for deaf adults,,http://ec.europa.eu/esco/isco2008/Concept/C2643
http://ec.europa.eu/esco/occupation/23738,Interpreter for the deaf,,http://ec.europa.eu/esco/isco2008/Concept/C2643
http://ec.europa.eu/esco/occupation/20457,Ironer,,http://ec.europa.eu/esco/isco2008/Concept/C9121
http://ec.europa.eu/esco/occupation/20781,Kiosk assistant,,http://ec.europa.eu/esco/isco2008/Concept/C5211
http://ec.europa.eu/esco/occupation/18285,Kiosk owner,,http://ec.europa.eu/esco/isco2008/Concept/C5211
http://ec.europa.eu/esco/occupation/20364,Kitchen assistant,,http://ec.europa.eu/esco/isco2008/Concept/C9412
http://ec.europa.eu/esco/occupation/20439,Kitchen assistant (institution),"Kitchen assistant, institution",http://ec.europa.eu/esco/isco2008/Concept/C9412
http://ec.europa.eu/esco/occupation/22435,Kitchen manager,Kitchen director,http://ec.europa.eu/esco/isco2008/Concept/C5151
http://ec.europa.eu/esco/occupation/20321,Laboratory dishwasher,,http://ec.europa.eu/esco/isco2008/Concept/C9112
http://ec.europa.eu/esco/occupation/21501,Labourer (general),General worker,http://ec.europa.eu/esco/isco2008/Concept/C9622
http://ec.europa.eu/esco/occupation/18826,Land use planner,Land development engineer,http://ec.europa.eu/esco/isco2008/Concept/C2164
http://ec.europa.eu/esco/occupation/18848,Landscape gardener,,http://ec.europa.eu/esco/isco2008/Concept/C6113
http://ec.europa.eu/esco/occupation/16582,Landscaping supervisor,Garden laying out foreman,http://ec.europa.eu/esco/isco2008/Concept/C6113
http://ec.europa.eu/esco/occupation/22554,Language reviser,,http://ec.europa.eu/esco/isco2008/Concept/C2643
http://ec.europa.eu/esco/occupation/16712,Leaflet distributor,,http://ec.europa.eu/esco/isco2008/Concept/C9621
http://ec.europa.eu/esco/occupation/17927,Leasing manager,,http://ec.europa.eu/esco/isco2008/Concept/C3334
http://ec.europa.eu/esco/occupation/23760,Legal interpreter,,http://ec.europa.eu/esco/isco2008/Concept/C2643
http://ec.europa.eu/esco/occupation/16808,Legal sociologist,,http://ec.europa.eu/esco/isco2008/Concept/C2632
http://ec.europa.eu/esco/occupation/15272,Letting agent,Flats agent,http://ec.europa.eu/esco/isco2008/Concept/C3334
http://ec.europa.eu/esco/occupation/23730,Lexicographer,,http://ec.europa.eu/esco/isco2008/Concept/C2643
http://ec.europa.eu/esco/occupation/22541,Linguist,,http://ec.europa.eu/esco/isco2008/Concept/C2643
http://ec.europa.eu/esco/occupation/19344,Literary agent,,http://ec.europa.eu/esco/isco2008/Concept/C3339
http://ec.europa.eu/esco/occupation/18479,Literary translator,Translator of fiction,http://ec.europa.eu/esco/isco2008/Concept/C2643
http://ec.europa.eu/esco/occupation/15743,Local guide,,http://ec.europa.eu/esco/isco2008/Concept/C5113
http://ec.europa.eu/esco/occupation/23318,Local manager (travel company),"Local manager, travel company",http://ec.europa.eu/esco/isco2008/Concept/C5113
http://ec.europa.eu/esco/occupation/23116,Luggage porter,Porter,http://ec.europa.eu/esco/isco2008/Concept/C9621
http://ec.europa.eu/esco/occupation/20961,Maintenance operative (catering),"Serviceman, catering",http://ec.europa.eu/esco/isco2008/Concept/C9621
http://ec.europa.eu/esco/occupation/19350,Manager,,http://ec.europa.eu/esco/isco2008/Concept/C3339
http://ec.europa.eu/esco/occupation/21888,Manager of an employment mediation office,Manager of a labour market introduction unit,http://ec.europa.eu/esco/isco2008/Concept/C1439
http://ec.europa.eu/esco/occupation/14991,Marine archaeologist,,http://ec.europa.eu/esco/isco2008/Concept/C2632
http://ec.europa.eu/esco/occupation/23250,Market salesperson,,http://ec.europa.eu/esco/isco2008/Concept/C5211
http://ec.europa.eu/esco/occupation/15275,Market vendor,Market seller Market-place seller,http://ec.europa.eu/esco/isco2008/Concept/C5211
http://ec.europa.eu/esco/occupation/22472,Matron,,http://ec.europa.eu/esco/isco2008/Concept/C5151
http://ec.europa.eu/esco/occupation/20487,Meals service assistant,Canteen assistant,http://ec.europa.eu/esco/isco2008/Concept/C5131
http://ec.europa.eu/esco/occupation/17984,Messenger,,http://ec.europa.eu/esco/isco2008/Concept/C9621
http://ec.europa.eu/esco/occupation/18605,Meter installer,,http://ec.europa.eu/esco/isco2008/Concept/C5153
http://ec.europa.eu/esco/occupation/22764,Military chaplain,,http://ec.europa.eu/esco/isco2008/Concept/C2636
http://ec.europa.eu/esco/occupation/19065,Minister (Church),"Minister, Church of Sweden",http://ec.europa.eu/esco/isco2008/Concept/C2636
http://ec.europa.eu/esco/occupation/22961,Mormon pastor,,http://ec.europa.eu/esco/isco2008/Concept/C2636
http://ec.europa.eu/esco/occupation/22958,Muezzin,,http://ec.europa.eu/esco/isco2008/Concept/C2636
http://ec.europa.eu/esco/occupation/17750,Nanny,,http://ec.europa.eu/esco/isco2008/Concept/C9111
http://ec.europa.eu/esco/occupation/19888,Natural geographer,,http://ec.europa.eu/esco/isco2008/Concept/C2632
