http://ec.europa.eu/esco/skill/16658,Book-keeping,Hotel receptionist-Chief receptionist-Bookings clerk (hotel)-Bookings manager (hotel)-Youth hostel director-Conference host/hostess (receptionists and information clerks)-Boarding house host-Night receptionist-Catering director-Matron-Housekeeper (hotel/restaurant)-Kitchen manager-Tour leader-Office cashier-Local manager (travel company)-Bus guide-Letting agent-Course host/hostess-Night porter-Catering supervisor-Hotel matron-Restaurant housekeeper-Church cashier-Farming cashier-Assistant matron-School meals director-Study centre director-Cash office worker-Conference manager-Hotel host-Porter (receptionists and information clerks)-Receptionist (telephone operator)-Office receptionist-Catering manager
http://ec.europa.eu/esco/skill/21871,Books and authors,"Advertising seller (door-to-door and telephone salespersons, shop sales persons and demonstrators)"
http://ec.europa.eu/esco/skill/19224,Breakfast buffet catering,Restaurant assistant-Attendant-Breakfast host/hostess-Assistant cook-Kitchen assistant-Cash desk assistant (restaurant)-Serving assistant-Meals service assistant-Bar assistant-Cold buffet assistant-Cash desk assistant (cafeteria)-Kitchen assistant (institution)-Grill assistant-Breakfast assistant
http://ec.europa.eu/esco/skill/23311,Brokerage,Broker's assistant
http://ec.europa.eu/esco/skill/16411,Bronze age archaeology,Archaeological scientist-Anthropologist-Archaeologist-Marine archaeologist
http://ec.europa.eu/esco/skill/16649,Budget design,Union treasurer
http://ec.europa.eu/esco/skill/18475,Budget follow-up,Union treasurer
http://ec.europa.eu/esco/skill/15227,Budget monitoring,Union treasurer
http://ec.europa.eu/esco/skill/15222,Budget responsibility,Transport coordinator-Transport adviser-Hotel receptionist-Bookings manager (hotel)-Transport planner-Sports agent-Manager-Agent (music)-Real estate manager-Real estate broker-Housing administrator-Real estate secretary-Head chef-Assistant chef-Boarding house host-Night receptionist-Grill cook-Cold-buffet manageress (ship)-Youth hostel director-Quality coordination adviser-Head waiter-Cold-buffet manageress-Shipping agent (business services agents and trade brokers)-Shipping master-Estate manager-Artists' agent-Catering supervisor-Assistant matron-Restaurant housekeeper-Bartender-Manager of an employment mediation office-Special cook-Sommelier-Director (residential hotel)-Director (holiday village)-Transport engineer-Artists' booking agent-Ship-broker-Restaurateur-Travel agency director-Study centre director-Rent inspector-Housing inspector-Driving school manager-Real estate inspector-Chief cook-Chief receptionist-Union treasurer-Real estate administrator-Real estate agent-Business administrator-Real estate book-keeper-Housing manager-Rent adviser-Operations manager (property)-Chef-Chinese cook-Quality auditor-Catering director-Matron-Kitchen manager-Housekeeper (hotel/restaurant)-Household adviser-Dietetic cook-Transport administrator-Shipping planner-Restaurant manager-Hotel matron-Camping ground supervisor-Travel agency manager-Rent supervisor-Estate director-School meals director-Area administrator-Aircraft broker-Cook-Conference manager-Literary agent-Booking agent-Hotel manager-Charterer-Golf course supervisor-Catering manager
http://ec.europa.eu/esco/skill/16121,Budgetary guidance,Business administrator-Quality auditor-Quality coordination adviser-Household adviser
http://ec.europa.eu/esco/skill/16982,Buffet preparation,Cook (ship)-Assistant chef-Head chef-Chef-Grill cook-Chinese cook-Cold-buffet manageress (ship)-First cook-Dietetic cook-Cook steward-Cold-buffet manageress-Special cook-Chief cook-Cook
http://ec.europa.eu/esco/skill/23097,Building inspection,Real estate administrator-Real estate agent-Housing manager-Real estate manager-Housing administrator-Real estate broker-Rent adviser-Operations manager (property)-Real estate assistant-Rent supervisor-Rent inspector-Real estate inspector-Area administrator-Housing inspector
http://ec.europa.eu/esco/skill/17880,Building maintenance (heating/water/sanitation),Building maintenance foreman-Odd-job man-Building technician-Gas meter installer-Building repairman-School porter-Water meter installer-Public baths caretaker-Sports ground worker-Caretaker (sports centre)-Caretaker (property)-Operations engineer (buildings)-Caretaker-Building maintenance engineer-Meter installer-Operations technician (buildings)-Verger-Operations manager (buildings)-Building maintenance worker-Caretaker (sports ground)
http://ec.europa.eu/esco/skill/18717,Building site cleaning,Cleaner-up
http://ec.europa.eu/esco/skill/20404,Bulldozer,Labourer (general)
http://ec.europa.eu/esco/skill/23800,Business administration,Business administrator-Quality coordination adviser-Quality auditor-Household adviser-Team supervisor (cleaning)
